"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"01.01.2021 00:00 - 01.01.2021 01:00 (UTC)","43265",""
"01.01.2021 01:00 - 01.01.2021 02:00 (UTC)","42286",""
"01.01.2021 02:00 - 01.01.2021 03:00 (UTC)","41435",""
"01.01.2021 03:00 - 01.01.2021 04:00 (UTC)","40897",""
"01.01.2021 04:00 - 01.01.2021 05:00 (UTC)","42522",""
"01.01.2021 05:00 - 01.01.2021 06:00 (UTC)","43854",""
"01.01.2021 06:00 - 01.01.2021 07:00 (UTC)","46211",""
"01.01.2021 07:00 - 01.01.2021 08:00 (UTC)","48249",""
"01.01.2021 08:00 - 01.01.2021 09:00 (UTC)","50559",""
"01.01.2021 09:00 - 01.01.2021 10:00 (UTC)","52774",""
"01.01.2021 10:00 - 01.01.2021 11:00 (UTC)","54752",""
"01.01.2021 11:00 - 01.01.2021 12:00 (UTC)","55311",""
"01.01.2021 12:00 - 01.01.2021 13:00 (UTC)","53953",""
"01.01.2021 13:00 - 01.01.2021 14:00 (UTC)","51112",""
"01.01.2021 14:00 - 01.01.2021 15:00 (UTC)","49316",""
"01.01.2021 15:00 - 01.01.2021 16:00 (UTC)","50433",""
"01.01.2021 16:00 - 01.01.2021 17:00 (UTC)","54063",""
"01.01.2021 17:00 - 01.01.2021 18:00 (UTC)","55429",""
"01.01.2021 18:00 - 01.01.2021 19:00 (UTC)","55553",""
"01.01.2021 19:00 - 01.01.2021 20:00 (UTC)","53847",""
"01.01.2021 20:00 - 01.01.2021 21:00 (UTC)","51917",""
"01.01.2021 21:00 - 01.01.2021 22:00 (UTC)","51091",""
"01.01.2021 22:00 - 01.01.2021 23:00 (UTC)","49365",""
"01.01.2021 23:00 - 02.01.2021 00:00 (UTC)","45353",""
"02.01.2021 00:00 - 02.01.2021 01:00 (UTC)","44102",""
"02.01.2021 01:00 - 02.01.2021 02:00 (UTC)","43607",""
"02.01.2021 02:00 - 02.01.2021 03:00 (UTC)","42886",""
"02.01.2021 03:00 - 02.01.2021 04:00 (UTC)","42695",""
"02.01.2021 04:00 - 02.01.2021 05:00 (UTC)","43048",""
"02.01.2021 05:00 - 02.01.2021 06:00 (UTC)","44047",""
"02.01.2021 06:00 - 02.01.2021 07:00 (UTC)","45867",""
"02.01.2021 07:00 - 02.01.2021 08:00 (UTC)","48421",""
"02.01.2021 08:00 - 02.01.2021 09:00 (UTC)","51623",""
"02.01.2021 09:00 - 02.01.2021 10:00 (UTC)","53677",""
"02.01.2021 10:00 - 02.01.2021 11:00 (UTC)","54447",""
"02.01.2021 11:00 - 02.01.2021 12:00 (UTC)","54805",""
"02.01.2021 12:00 - 02.01.2021 13:00 (UTC)","53568",""
"02.01.2021 13:00 - 02.01.2021 14:00 (UTC)","51021",""
"02.01.2021 14:00 - 02.01.2021 15:00 (UTC)","48555",""
"02.01.2021 15:00 - 02.01.2021 16:00 (UTC)","49052",""
"02.01.2021 16:00 - 02.01.2021 17:00 (UTC)","52544",""
"02.01.2021 17:00 - 02.01.2021 18:00 (UTC)","55196",""
"02.01.2021 18:00 - 02.01.2021 19:00 (UTC)","55783",""
"02.01.2021 19:00 - 02.01.2021 20:00 (UTC)","53696",""
"02.01.2021 20:00 - 02.01.2021 21:00 (UTC)","51188",""
"02.01.2021 21:00 - 02.01.2021 22:00 (UTC)","51143",""
"02.01.2021 22:00 - 02.01.2021 23:00 (UTC)","50163",""
"02.01.2021 23:00 - 03.01.2021 00:00 (UTC)","47700",""
"03.01.2021 00:00 - 03.01.2021 01:00 (UTC)","46153",""
"03.01.2021 01:00 - 03.01.2021 02:00 (UTC)","45723",""
"03.01.2021 02:00 - 03.01.2021 03:00 (UTC)","45047",""
"03.01.2021 03:00 - 03.01.2021 04:00 (UTC)","45832",""
"03.01.2021 04:00 - 03.01.2021 05:00 (UTC)","47355",""
"03.01.2021 05:00 - 03.01.2021 06:00 (UTC)","48798",""
"03.01.2021 06:00 - 03.01.2021 07:00 (UTC)","51066",""
"03.01.2021 07:00 - 03.01.2021 08:00 (UTC)","54542",""
"03.01.2021 08:00 - 03.01.2021 09:00 (UTC)","57070",""
"03.01.2021 09:00 - 03.01.2021 10:00 (UTC)","59845",""
"03.01.2021 10:00 - 03.01.2021 11:00 (UTC)","62596",""
"03.01.2021 11:00 - 03.01.2021 12:00 (UTC)","64172",""
"03.01.2021 12:00 - 03.01.2021 13:00 (UTC)","62192",""
"03.01.2021 13:00 - 03.01.2021 14:00 (UTC)","60497",""
"03.01.2021 14:00 - 03.01.2021 15:00 (UTC)","60016",""
"03.01.2021 15:00 - 03.01.2021 16:00 (UTC)","61096",""
"03.01.2021 16:00 - 03.01.2021 17:00 (UTC)","64377",""
"03.01.2021 17:00 - 03.01.2021 18:00 (UTC)","66166",""
"03.01.2021 18:00 - 03.01.2021 19:00 (UTC)","66438",""
"03.01.2021 19:00 - 03.01.2021 20:00 (UTC)","63959",""
"03.01.2021 20:00 - 03.01.2021 21:00 (UTC)","61809",""
"03.01.2021 21:00 - 03.01.2021 22:00 (UTC)","60495",""
"03.01.2021 22:00 - 03.01.2021 23:00 (UTC)","57932",""
"03.01.2021 23:00 - 04.01.2021 00:00 (UTC)","57588",""
"04.01.2021 00:00 - 04.01.2021 01:00 (UTC)","56174",""
"04.01.2021 01:00 - 04.01.2021 02:00 (UTC)","55919",""
"04.01.2021 02:00 - 04.01.2021 03:00 (UTC)","56130",""
"04.01.2021 03:00 - 04.01.2021 04:00 (UTC)","57329",""
"04.01.2021 04:00 - 04.01.2021 05:00 (UTC)","61067",""
"04.01.2021 05:00 - 04.01.2021 06:00 (UTC)","66449",""
"04.01.2021 06:00 - 04.01.2021 07:00 (UTC)","72215",""
"04.01.2021 07:00 - 04.01.2021 08:00 (UTC)","75513",""
"04.01.2021 08:00 - 04.01.2021 09:00 (UTC)","76605",""
"04.01.2021 09:00 - 04.01.2021 10:00 (UTC)","76657",""
"04.01.2021 10:00 - 04.01.2021 11:00 (UTC)","76524",""
"04.01.2021 11:00 - 04.01.2021 12:00 (UTC)","76440",""
"04.01.2021 12:00 - 04.01.2021 13:00 (UTC)","75499",""
"04.01.2021 13:00 - 04.01.2021 14:00 (UTC)","73660",""
"04.01.2021 14:00 - 04.01.2021 15:00 (UTC)","72316",""
"04.01.2021 15:00 - 04.01.2021 16:00 (UTC)","72716",""
"04.01.2021 16:00 - 04.01.2021 17:00 (UTC)","74819",""
"04.01.2021 17:00 - 04.01.2021 18:00 (UTC)","74926",""
"04.01.2021 18:00 - 04.01.2021 19:00 (UTC)","74402",""
"04.01.2021 19:00 - 04.01.2021 20:00 (UTC)","71587",""
"04.01.2021 20:00 - 04.01.2021 21:00 (UTC)","68170",""
"04.01.2021 21:00 - 04.01.2021 22:00 (UTC)","66892",""
"04.01.2021 22:00 - 04.01.2021 23:00 (UTC)","63927",""
"04.01.2021 23:00 - 05.01.2021 00:00 (UTC)","58141",""
"05.01.2021 00:00 - 05.01.2021 01:00 (UTC)","56298",""
"05.01.2021 01:00 - 05.01.2021 02:00 (UTC)","56306",""
"05.01.2021 02:00 - 05.01.2021 03:00 (UTC)","56468",""
"05.01.2021 03:00 - 05.01.2021 04:00 (UTC)","57598",""
"05.01.2021 04:00 - 05.01.2021 05:00 (UTC)","60662",""
"05.01.2021 05:00 - 05.01.2021 06:00 (UTC)","67756",""
"05.01.2021 06:00 - 05.01.2021 07:00 (UTC)","73421",""
"05.01.2021 07:00 - 05.01.2021 08:00 (UTC)","76450",""
"05.01.2021 08:00 - 05.01.2021 09:00 (UTC)","76082",""
"05.01.2021 09:00 - 05.01.2021 10:00 (UTC)","75779",""
"05.01.2021 10:00 - 05.01.2021 11:00 (UTC)","76100",""
"05.01.2021 11:00 - 05.01.2021 12:00 (UTC)","75890",""
"05.01.2021 12:00 - 05.01.2021 13:00 (UTC)","75056",""
"05.01.2021 13:00 - 05.01.2021 14:00 (UTC)","73988",""
"05.01.2021 14:00 - 05.01.2021 15:00 (UTC)","74177",""
"05.01.2021 15:00 - 05.01.2021 16:00 (UTC)","75733",""
"05.01.2021 16:00 - 05.01.2021 17:00 (UTC)","77796",""
"05.01.2021 17:00 - 05.01.2021 18:00 (UTC)","76763",""
"05.01.2021 18:00 - 05.01.2021 19:00 (UTC)","76178",""
"05.01.2021 19:00 - 05.01.2021 20:00 (UTC)","74083",""
"05.01.2021 20:00 - 05.01.2021 21:00 (UTC)","70611",""
"05.01.2021 21:00 - 05.01.2021 22:00 (UTC)","68800",""
"05.01.2021 22:00 - 05.01.2021 23:00 (UTC)","64746",""
"05.01.2021 23:00 - 06.01.2021 00:00 (UTC)","58128",""
"06.01.2021 00:00 - 06.01.2021 01:00 (UTC)","56352",""
"06.01.2021 01:00 - 06.01.2021 02:00 (UTC)","55241",""
"06.01.2021 02:00 - 06.01.2021 03:00 (UTC)","54488",""
"06.01.2021 03:00 - 06.01.2021 04:00 (UTC)","55658",""
"06.01.2021 04:00 - 06.01.2021 05:00 (UTC)","59007",""
"06.01.2021 05:00 - 06.01.2021 06:00 (UTC)","63107",""
"06.01.2021 06:00 - 06.01.2021 07:00 (UTC)","65933",""
"06.01.2021 07:00 - 06.01.2021 08:00 (UTC)","69355",""
"06.01.2021 08:00 - 06.01.2021 09:00 (UTC)","69004",""
"06.01.2021 09:00 - 06.01.2021 10:00 (UTC)","68511",""
"06.01.2021 10:00 - 06.01.2021 11:00 (UTC)","68919",""
"06.01.2021 11:00 - 06.01.2021 12:00 (UTC)","68744",""
"06.01.2021 12:00 - 06.01.2021 13:00 (UTC)","68232",""
"06.01.2021 13:00 - 06.01.2021 14:00 (UTC)","66983",""
"06.01.2021 14:00 - 06.01.2021 15:00 (UTC)","66711",""
"06.01.2021 15:00 - 06.01.2021 16:00 (UTC)","68688",""
"06.01.2021 16:00 - 06.01.2021 17:00 (UTC)","70151",""
"06.01.2021 17:00 - 06.01.2021 18:00 (UTC)","69766",""
"06.01.2021 18:00 - 06.01.2021 19:00 (UTC)","69723",""
"06.01.2021 19:00 - 06.01.2021 20:00 (UTC)","68085",""
"06.01.2021 20:00 - 06.01.2021 21:00 (UTC)","65423",""
"06.01.2021 21:00 - 06.01.2021 22:00 (UTC)","63540",""
"06.01.2021 22:00 - 06.01.2021 23:00 (UTC)","60874",""
"06.01.2021 23:00 - 07.01.2021 00:00 (UTC)","57829",""
"07.01.2021 00:00 - 07.01.2021 01:00 (UTC)","56105",""
"07.01.2021 01:00 - 07.01.2021 02:00 (UTC)","55149",""
"07.01.2021 02:00 - 07.01.2021 03:00 (UTC)","54324",""
"07.01.2021 03:00 - 07.01.2021 04:00 (UTC)","54868",""
"07.01.2021 04:00 - 07.01.2021 05:00 (UTC)","58843",""
"07.01.2021 05:00 - 07.01.2021 06:00 (UTC)","64807",""
"07.01.2021 06:00 - 07.01.2021 07:00 (UTC)","70236",""
"07.01.2021 07:00 - 07.01.2021 08:00 (UTC)","72415",""
"07.01.2021 08:00 - 07.01.2021 09:00 (UTC)","72003",""
"07.01.2021 09:00 - 07.01.2021 10:00 (UTC)","71868",""
"07.01.2021 10:00 - 07.01.2021 11:00 (UTC)","71895",""
"07.01.2021 11:00 - 07.01.2021 12:00 (UTC)","71249",""
"07.01.2021 12:00 - 07.01.2021 13:00 (UTC)","70484",""
"07.01.2021 13:00 - 07.01.2021 14:00 (UTC)","68725",""
"07.01.2021 14:00 - 07.01.2021 15:00 (UTC)","67453",""
"07.01.2021 15:00 - 07.01.2021 16:00 (UTC)","67446",""
"07.01.2021 16:00 - 07.01.2021 17:00 (UTC)","70054",""
"07.01.2021 17:00 - 07.01.2021 18:00 (UTC)","70290",""
"07.01.2021 18:00 - 07.01.2021 19:00 (UTC)","69786",""
"07.01.2021 19:00 - 07.01.2021 20:00 (UTC)","66363",""
"07.01.2021 20:00 - 07.01.2021 21:00 (UTC)","63304",""
"07.01.2021 21:00 - 07.01.2021 22:00 (UTC)","61949",""
"07.01.2021 22:00 - 07.01.2021 23:00 (UTC)","59521",""
"07.01.2021 23:00 - 08.01.2021 00:00 (UTC)","58516",""
"08.01.2021 00:00 - 08.01.2021 01:00 (UTC)","56658",""
"08.01.2021 01:00 - 08.01.2021 02:00 (UTC)","55733",""
"08.01.2021 02:00 - 08.01.2021 03:00 (UTC)","55339",""
"08.01.2021 03:00 - 08.01.2021 04:00 (UTC)","56015",""
"08.01.2021 04:00 - 08.01.2021 05:00 (UTC)","58996",""
"08.01.2021 05:00 - 08.01.2021 06:00 (UTC)","64046",""
"08.01.2021 06:00 - 08.01.2021 07:00 (UTC)","67969",""
"08.01.2021 07:00 - 08.01.2021 08:00 (UTC)","70088",""
"08.01.2021 08:00 - 08.01.2021 09:00 (UTC)","71148",""
"08.01.2021 09:00 - 08.01.2021 10:00 (UTC)","71106",""
"08.01.2021 10:00 - 08.01.2021 11:00 (UTC)","71112",""
"08.01.2021 11:00 - 08.01.2021 12:00 (UTC)","69664",""
"08.01.2021 12:00 - 08.01.2021 13:00 (UTC)","68132",""
"08.01.2021 13:00 - 08.01.2021 14:00 (UTC)","66436",""
"08.01.2021 14:00 - 08.01.2021 15:00 (UTC)","65407",""
"08.01.2021 15:00 - 08.01.2021 16:00 (UTC)","65724",""
"08.01.2021 16:00 - 08.01.2021 17:00 (UTC)","69104",""
"08.01.2021 17:00 - 08.01.2021 18:00 (UTC)","69209",""
"08.01.2021 18:00 - 08.01.2021 19:00 (UTC)","68535",""
"08.01.2021 19:00 - 08.01.2021 20:00 (UTC)","65048",""
"08.01.2021 20:00 - 08.01.2021 21:00 (UTC)","62694",""
"08.01.2021 21:00 - 08.01.2021 22:00 (UTC)","61351",""
"08.01.2021 22:00 - 08.01.2021 23:00 (UTC)","58611",""
"08.01.2021 23:00 - 09.01.2021 00:00 (UTC)","55747",""
"09.01.2021 00:00 - 09.01.2021 01:00 (UTC)","54221",""
"09.01.2021 01:00 - 09.01.2021 02:00 (UTC)","53030",""
"09.01.2021 02:00 - 09.01.2021 03:00 (UTC)","51675",""
"09.01.2021 03:00 - 09.01.2021 04:00 (UTC)","51490",""
"09.01.2021 04:00 - 09.01.2021 05:00 (UTC)","51416",""
"09.01.2021 05:00 - 09.01.2021 06:00 (UTC)","52946",""
"09.01.2021 06:00 - 09.01.2021 07:00 (UTC)","55242",""
"09.01.2021 07:00 - 09.01.2021 08:00 (UTC)","57949",""
"09.01.2021 08:00 - 09.01.2021 09:00 (UTC)","59666",""
"09.01.2021 09:00 - 09.01.2021 10:00 (UTC)","61126",""
"09.01.2021 10:00 - 09.01.2021 11:00 (UTC)","61925",""
"09.01.2021 11:00 - 09.01.2021 12:00 (UTC)","62344",""
"09.01.2021 12:00 - 09.01.2021 13:00 (UTC)","61734",""
"09.01.2021 13:00 - 09.01.2021 14:00 (UTC)","59885",""
"09.01.2021 14:00 - 09.01.2021 15:00 (UTC)","57950",""
"09.01.2021 15:00 - 09.01.2021 16:00 (UTC)","57530",""
"09.01.2021 16:00 - 09.01.2021 17:00 (UTC)","60896",""
"09.01.2021 17:00 - 09.01.2021 18:00 (UTC)","63104",""
"09.01.2021 18:00 - 09.01.2021 19:00 (UTC)","63382",""
"09.01.2021 19:00 - 09.01.2021 20:00 (UTC)","59768",""
"09.01.2021 20:00 - 09.01.2021 21:00 (UTC)","57683",""
"09.01.2021 21:00 - 09.01.2021 22:00 (UTC)","57506",""
"09.01.2021 22:00 - 09.01.2021 23:00 (UTC)","55756",""
"09.01.2021 23:00 - 10.01.2021 00:00 (UTC)","51316",""
"10.01.2021 00:00 - 10.01.2021 01:00 (UTC)","50370",""
"10.01.2021 01:00 - 10.01.2021 02:00 (UTC)","50425",""
"10.01.2021 02:00 - 10.01.2021 03:00 (UTC)","50366",""
"10.01.2021 03:00 - 10.01.2021 04:00 (UTC)","50698",""
"10.01.2021 04:00 - 10.01.2021 05:00 (UTC)","50906",""
"10.01.2021 05:00 - 10.01.2021 06:00 (UTC)","49902",""
"10.01.2021 06:00 - 10.01.2021 07:00 (UTC)","52966",""
"10.01.2021 07:00 - 10.01.2021 08:00 (UTC)","56499",""
"10.01.2021 08:00 - 10.01.2021 09:00 (UTC)","60703",""
"10.01.2021 09:00 - 10.01.2021 10:00 (UTC)","64165",""
"10.01.2021 10:00 - 10.01.2021 11:00 (UTC)","66874",""
"10.01.2021 11:00 - 10.01.2021 12:00 (UTC)","67941",""
"10.01.2021 12:00 - 10.01.2021 13:00 (UTC)","66543",""
