"Time (UTC)","Austria (AT) > Germany (DE) Day Ahead [MW]","Austria (AT) > Germany (DE) Total [MW]","Germany (DE) > Austria (AT) Day Ahead [MW]","Germany (DE) > Austria (AT) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","143","1228","1228"
"01.01.2021 01:00 - 01.01.2021 02:00","0","433","1352","1352"
"01.01.2021 02:00 - 01.01.2021 03:00","0","333","1117","1123"
"01.01.2021 03:00 - 01.01.2021 04:00","0","411","1592","1592"
"01.01.2021 04:00 - 01.01.2021 05:00","0","512","1493","1493"
"01.01.2021 05:00 - 01.01.2021 06:00","0","552","1525","1533"
"01.01.2021 06:00 - 01.01.2021 07:00","0","588","1482","1482"
"01.01.2021 07:00 - 01.01.2021 08:00","0","113","561","561"
"01.01.2021 08:00 - 01.01.2021 09:00","0","194","587","587"
"01.01.2021 09:00 - 01.01.2021 10:00","0","170","1022","1022"
"01.01.2021 10:00 - 01.01.2021 11:00","0","200","880","880"
"01.01.2021 11:00 - 01.01.2021 12:00","0","230","587","587"
"01.01.2021 12:00 - 01.01.2021 13:00","0","248","428","428"
"01.01.2021 13:00 - 01.01.2021 14:00","0","211","578","578"
"01.01.2021 14:00 - 01.01.2021 15:00","0","181","671","671"
"01.01.2021 15:00 - 01.01.2021 16:00","0","327","1080","1080"
"01.01.2021 16:00 - 01.01.2021 17:00","0","316","1193","1193"
"01.01.2021 17:00 - 01.01.2021 18:00","0","435","1175","1175"
"01.01.2021 18:00 - 01.01.2021 19:00","0","404","524","524"
"01.01.2021 19:00 - 01.01.2021 20:00","0","411","1368","1368"
"01.01.2021 20:00 - 01.01.2021 21:00","0","224","1458","1458"
"01.01.2021 21:00 - 01.01.2021 22:00","0","171","1640","1640"
"01.01.2021 22:00 - 01.01.2021 23:00","0","109","882","882"
"01.01.2021 23:00 - 02.01.2021 00:00","0","2","78","78"
"02.01.2021 00:00 - 02.01.2021 01:00","39","44","0","0"
"02.01.2021 01:00 - 02.01.2021 02:00","0","7","484","490"
"02.01.2021 02:00 - 02.01.2021 03:00","0","21","1051","1062"
"02.01.2021 03:00 - 02.01.2021 04:00","0","6","1465","1469"
"02.01.2021 04:00 - 02.01.2021 05:00","0","53","1629","1665"
"02.01.2021 05:00 - 02.01.2021 06:00","0","8","857","857"
"02.01.2021 06:00 - 02.01.2021 07:00","0","27","512","524"
"02.01.2021 07:00 - 02.01.2021 08:00","0","0","458","458"
"02.01.2021 08:00 - 02.01.2021 09:00","0","2","1066","1068"
"02.01.2021 09:00 - 02.01.2021 10:00","0","17","1031","1033"
"02.01.2021 10:00 - 02.01.2021 11:00","0","153","1335","1338"
"02.01.2021 11:00 - 02.01.2021 12:00","0","30","427","431"
"02.01.2021 12:00 - 02.01.2021 13:00","0","95","614","644"
"02.01.2021 13:00 - 02.01.2021 14:00","0","13","600","603"
"02.01.2021 14:00 - 02.01.2021 15:00","0","11","204","207"
"02.01.2021 15:00 - 02.01.2021 16:00","0","6","575","575"
"02.01.2021 16:00 - 02.01.2021 17:00","162","169","0","2"
"02.01.2021 17:00 - 02.01.2021 18:00","277","283","0","0"
"02.01.2021 18:00 - 02.01.2021 19:00","1009","1022","0","0"
"02.01.2021 19:00 - 02.01.2021 20:00","0","4","467","467"
"02.01.2021 20:00 - 02.01.2021 21:00","0","1","547","548"
"02.01.2021 21:00 - 02.01.2021 22:00","0","0","52","52"
"02.01.2021 22:00 - 02.01.2021 23:00","270","270","0","0"
"02.01.2021 23:00 - 03.01.2021 00:00","0","0","52","278"
"03.01.2021 00:00 - 03.01.2021 01:00","361","361","0","392"
"03.01.2021 01:00 - 03.01.2021 02:00","0","95","451","451"
"03.01.2021 02:00 - 03.01.2021 03:00","0","31","1115","1115"
"03.01.2021 03:00 - 03.01.2021 04:00","0","105","1481","1563"
"03.01.2021 04:00 - 03.01.2021 05:00","0","100","2188","2206"
"03.01.2021 05:00 - 03.01.2021 06:00","0","46","2638","2638"
"03.01.2021 06:00 - 03.01.2021 07:00","0","13","3181","3181"
"03.01.2021 07:00 - 03.01.2021 08:00","0","66","2647","2650"
"03.01.2021 08:00 - 03.01.2021 09:00","0","224","2187","2188"
"03.01.2021 09:00 - 03.01.2021 10:00","0","51","1895","1903"
"03.01.2021 10:00 - 03.01.2021 11:00","0","1","1399","1399"
"03.01.2021 11:00 - 03.01.2021 12:00","0","0","1395","1395"
"03.01.2021 12:00 - 03.01.2021 13:00","0","35","1763","1764"
"03.01.2021 13:00 - 03.01.2021 14:00","0","11","2025","2025"
"03.01.2021 14:00 - 03.01.2021 15:00","0","467","2291","2299"
"03.01.2021 15:00 - 03.01.2021 16:00","0","677","3646","3646"
"03.01.2021 16:00 - 03.01.2021 17:00","0","563","3052","3056"
"03.01.2021 17:00 - 03.01.2021 18:00","0","528","3068","3068"
"03.01.2021 18:00 - 03.01.2021 19:00","0","732","3136","3136"
"03.01.2021 19:00 - 03.01.2021 20:00","0","676","3005","3005"
"03.01.2021 20:00 - 03.01.2021 21:00","0","1219","3350","3352"
"03.01.2021 21:00 - 03.01.2021 22:00","0","1199","3071","3071"
"03.01.2021 22:00 - 03.01.2021 23:00","0","1833","3264","3264"
"03.01.2021 23:00 - 04.01.2021 00:00","0","0","3622","3622"
"04.01.2021 00:00 - 04.01.2021 01:00","0","0","3463","3463"
"04.01.2021 01:00 - 04.01.2021 02:00","0","0","3359","3359"
"04.01.2021 02:00 - 04.01.2021 03:00","0","0","3392","3392"
"04.01.2021 03:00 - 04.01.2021 04:00","0","0","3613","3613"
"04.01.2021 04:00 - 04.01.2021 05:00","0","0","4333","4333"
"04.01.2021 05:00 - 04.01.2021 06:00","0","1322","4115","4115"
