"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"01.01.2021 00:00 - 01.01.2021 00:15,""0"",""0"",""832"",""832"""
"01.01.2021 00:15 - 01.01.2021 00:30,""0"",""0"",""832"",""832"""
"01.01.2021 00:30 - 01.01.2021 00:45,""0"",""0"",""832"",""832"""
"01.01.2021 00:45 - 01.01.2021 01:00,""0"",""0"",""832"",""832"""
"01.01.2021 01:00 - 01.01.2021 01:15,""0"",""0"",""808"",""808"""
"01.01.2021 01:15 - 01.01.2021 01:30,""0"",""0"",""808"",""808"""
"01.01.2021 01:30 - 01.01.2021 01:45,""0"",""0"",""808"",""808"""
"01.01.2021 01:45 - 01.01.2021 02:00,""0"",""0"",""808"",""808"""
"01.01.2021 02:00 - 01.01.2021 02:15,""0"",""0"",""615"",""615"""
"01.01.2021 02:15 - 01.01.2021 02:30,""0"",""0"",""615"",""615"""
"01.01.2021 02:30 - 01.01.2021 02:45,""0"",""0"",""615"",""615"""
"01.01.2021 02:45 - 01.01.2021 03:00,""0"",""0"",""615"",""615"""
"01.01.2021 03:00 - 01.01.2021 03:15,""0"",""114"",""343"",""388"""
"01.01.2021 03:15 - 01.01.2021 03:30,""0"",""117"",""343"",""388"""
"01.01.2021 03:30 - 01.01.2021 03:45,""0"",""121"",""343"",""389"""
"01.01.2021 03:45 - 01.01.2021 04:00,""0"",""111"",""343"",""388"""
"01.01.2021 04:00 - 01.01.2021 04:15,""0"",""60"",""470"",""539"""
"01.01.2021 04:15 - 01.01.2021 04:30,""0"",""61"",""470"",""546"""
"01.01.2021 04:30 - 01.01.2021 04:45,""0"",""61"",""470"",""537"""
"01.01.2021 04:45 - 01.01.2021 05:00,""0"",""61"",""470"",""534"""
"01.01.2021 05:00 - 01.01.2021 05:15,""0"",""176"",""599"",""846"""
"01.01.2021 05:15 - 01.01.2021 05:30,""0"",""176"",""599"",""845"""
"01.01.2021 05:30 - 01.01.2021 05:45,""0"",""176"",""599"",""842"""
"01.01.2021 05:45 - 01.01.2021 06:00,""0"",""176"",""599"",""844"""
"01.01.2021 06:00 - 01.01.2021 06:15,""0"",""259"",""600"",""701"""
"01.01.2021 06:15 - 01.01.2021 06:30,""0"",""236"",""600"",""702"""
"01.01.2021 06:30 - 01.01.2021 06:45,""0"",""230"",""600"",""701"""
"01.01.2021 06:45 - 01.01.2021 07:00,""0"",""232"",""600"",""699"""
"01.01.2021 07:00 - 01.01.2021 07:15,""0"",""337"",""758"",""791"""
"01.01.2021 07:15 - 01.01.2021 07:30,""0"",""338"",""758"",""791"""
"01.01.2021 07:30 - 01.01.2021 07:45,""0"",""336"",""758"",""791"""
"01.01.2021 07:45 - 01.01.2021 08:00,""0"",""336"",""758"",""791"""
"01.01.2021 08:00 - 01.01.2021 08:15,""0"",""330"",""681"",""738"""
"01.01.2021 08:15 - 01.01.2021 08:30,""0"",""315"",""681"",""739"""
"01.01.2021 08:30 - 01.01.2021 08:45,""0"",""306"",""681"",""743"""
"01.01.2021 08:45 - 01.01.2021 09:00,""0"",""304"",""681"",""742"""
"01.01.2021 09:00 - 01.01.2021 09:15,""0"",""276"",""726"",""749"""
