"Time (UTC)","Czech Republic (CZ) > Germany (DE) Day Ahead [MW]","Czech Republic (CZ) > Germany (DE) Total [MW]","Germany (DE) > Czech Republic (CZ) Day Ahead [MW]","Germany (DE) > Czech Republic (CZ) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","2300","2300","0","2"
"01.01.2021 01:00 - 01.01.2021 02:00","2299","2299","0","0"
"01.01.2021 02:00 - 01.01.2021 03:00","2300","2300","0","0"
"01.01.2021 03:00 - 01.01.2021 04:00","2300","2300","0","0"
"01.01.2021 04:00 - 01.01.2021 05:00","2300","2300","0","12"
"01.01.2021 05:00 - 01.01.2021 06:00","2340","2340","0","0"
"01.01.2021 06:00 - 01.01.2021 07:00","2273","2273","0","0"
"01.01.2021 07:00 - 01.01.2021 08:00","2331","2331","0","0"
"01.01.2021 08:00 - 01.01.2021 09:00","2227","2227","0","0"
"01.01.2021 09:00 - 01.01.2021 10:00","2907","2907","0","0"
"01.01.2021 10:00 - 01.01.2021 11:00","2820","2820","0","0"
"01.01.2021 11:00 - 01.01.2021 12:00","2791","2791","0","0"
"01.01.2021 12:00 - 01.01.2021 13:00","2655","2655","0","4"
"01.01.2021 13:00 - 01.01.2021 14:00","2362","2362","0","10"
"01.01.2021 14:00 - 01.01.2021 15:00","2355","2355","0","93"
"01.01.2021 15:00 - 01.01.2021 16:00","1730","1730","75","75"
"01.01.2021 16:00 - 01.01.2021 17:00","1955","1955","0","0"
"01.01.2021 17:00 - 01.01.2021 18:00","1980","1980","0","0"
"01.01.2021 18:00 - 01.01.2021 19:00","1680","1680","75","75"
"01.01.2021 19:00 - 01.01.2021 20:00","2053","2053","220","220"
"01.01.2021 20:00 - 01.01.2021 21:00","2297","2297","175","175"
"01.01.2021 21:00 - 01.01.2021 22:00","2750","2750","50","50"
"01.01.2021 22:00 - 01.01.2021 23:00","2915","2915","0","0"
"01.01.2021 23:00 - 02.01.2021 00:00","2924","2924","25","25"
"02.01.2021 00:00 - 02.01.2021 01:00","2955","2980","0","0"
"02.01.2021 01:00 - 02.01.2021 02:00","2935","2960","0","0"
"02.01.2021 02:00 - 02.01.2021 03:00","2940","2940","0","0"
"02.01.2021 03:00 - 02.01.2021 04:00","2955","2973","0","0"
"02.01.2021 04:00 - 02.01.2021 05:00","2959","2959","0","0"
"02.01.2021 05:00 - 02.01.2021 06:00","2826","2836","125","125"
"02.01.2021 06:00 - 02.01.2021 07:00","2802","2802","0","0"
"02.01.2021 07:00 - 02.01.2021 08:00","2933","2943","40","40"
"02.01.2021 08:00 - 02.01.2021 09:00","2663","2663","0","0"
"02.01.2021 09:00 - 02.01.2021 10:00","2507","2507","90","90"
"02.01.2021 10:00 - 02.01.2021 11:00","2520","2520","25","25"
"02.01.2021 11:00 - 02.01.2021 12:00","2085","2085","0","0"
"02.01.2021 12:00 - 02.01.2021 13:00","2228","2228","0","0"
"02.01.2021 13:00 - 02.01.2021 14:00","2243","2243","0","0"
"02.01.2021 14:00 - 02.01.2021 15:00","2189","2189","300","300"
"02.01.2021 15:00 - 02.01.2021 16:00","2008","2008","350","350"
"02.01.2021 16:00 - 02.01.2021 17:00","2197","2197","0","0"
"02.01.2021 17:00 - 02.01.2021 18:00","2235","2235","0","0"
"02.01.2021 18:00 - 02.01.2021 19:00","1869","1869","150","150"
"02.01.2021 19:00 - 02.01.2021 20:00","2432","2432","0","0"
"02.01.2021 20:00 - 02.01.2021 21:00","2562","2562","0","0"
"02.01.2021 21:00 - 02.01.2021 22:00","2566","2566","0","0"
"02.01.2021 22:00 - 02.01.2021 23:00","2935","2935","0","0"
"02.01.2021 23:00 - 03.01.2021 00:00","2735","2750","0","0"
"03.01.2021 00:00 - 03.01.2021 01:00","2532","2537","0","0"
"03.01.2021 01:00 - 03.01.2021 02:00","2374","2374","0","0"
"03.01.2021 02:00 - 03.01.2021 03:00","2334","2334","0","0"
"03.01.2021 03:00 - 03.01.2021 04:00","2015","2015","0","41"
"03.01.2021 04:00 - 03.01.2021 05:00","2041","2041","100","135"
"03.01.2021 05:00 - 03.01.2021 06:00","2463","2463","250","291"
"03.01.2021 06:00 - 03.01.2021 07:00","2136","2136","250","327"
"03.01.2021 07:00 - 03.01.2021 08:00","1502","1502","350","702"
"03.01.2021 08:00 - 03.01.2021 09:00","1305","1552","1050","1134"
"03.01.2021 09:00 - 03.01.2021 10:00","764","821","1005","1005"
"03.01.2021 10:00 - 03.01.2021 11:00","655","1006","1115","1115"
"03.01.2021 11:00 - 03.01.2021 12:00","655","1330","1079","1079"
"03.01.2021 12:00 - 03.01.2021 13:00","455","1241","770","770"
"03.01.2021 13:00 - 03.01.2021 14:00","655","838","635","635"
"03.01.2021 14:00 - 03.01.2021 15:00","405","1237","552","552"
"03.01.2021 15:00 - 03.01.2021 16:00","185","380","430","430"
"03.01.2021 16:00 - 03.01.2021 17:00","185","826","522","522"
"03.01.2021 17:00 - 03.01.2021 18:00","195","1195","469","469"
"03.01.2021 18:00 - 03.01.2021 19:00","185","662","472","472"
"03.01.2021 19:00 - 03.01.2021 20:00","185","398","405","405"
"03.01.2021 20:00 - 03.01.2021 21:00","185","423","420","420"
"03.01.2021 21:00 - 03.01.2021 22:00","385","1097","465","465"
"03.01.2021 22:00 - 03.01.2021 23:00","775","1022","344","359"
"03.01.2021 23:00 - 04.01.2021 00:00","1124","1124","349","349"
"04.01.2021 00:00 - 04.01.2021 01:00","968","968","177","178"
"04.01.2021 01:00 - 04.01.2021 02:00","795","795","127","127"
"04.01.2021 02:00 - 04.01.2021 03:00","1044","1044","127","127"
"04.01.2021 03:00 - 04.01.2021 04:00","823","823","152","152"
"04.01.2021 04:00 - 04.01.2021 05:00","835","835","164","166"
"04.01.2021 05:00 - 04.01.2021 06:00","375","957","757","757"
"04.01.2021 06:00 - 04.01.2021 07:00","214","883","945","945"
"04.01.2021 07:00 - 04.01.2021 08:00","275","1083","505","505"
"04.01.2021 08:00 - 04.01.2021 09:00","280","1137","961","961"
"04.01.2021 09:00 - 04.01.2021 10:00","260","874","937","937"
"04.01.2021 10:00 - 04.01.2021 11:00","246","1064","1003","1003"
"04.01.2021 11:00 - 04.01.2021 12:00","88","640","1066","1066"
"04.01.2021 12:00 - 04.01.2021 13:00","206","822","1143","1143"
"04.01.2021 13:00 - 04.01.2021 14:00","247","685","829","829"
"04.01.2021 14:00 - 04.01.2021 15:00","378","914","775","775"
"04.01.2021 15:00 - 04.01.2021 16:00","297","1116","757","757"
"04.01.2021 16:00 - 04.01.2021 17:00","831","1398","910","910"
"04.01.2021 17:00 - 04.01.2021 18:00","517","1142","627","627"
"04.01.2021 18:00 - 04.01.2021 19:00","370","1292","702","702"
"04.01.2021 19:00 - 04.01.2021 20:00","260","870","372","372"
"04.01.2021 20:00 - 04.01.2021 21:00","351","1084","469","469"
"04.01.2021 21:00 - 04.01.2021 22:00","564","1011","447","447"
"04.01.2021 22:00 - 04.01.2021 23:00","733","920","305","305"
"04.01.2021 23:00 - 05.01.2021 00:00","2027","2027","477","477"
"05.01.2021 00:00 - 05.01.2021 01:00","1233","1233","136","136"
"05.01.2021 01:00 - 05.01.2021 02:00","1254","1254","127","127"
"05.01.2021 02:00 - 05.01.2021 03:00","1361","1361","127","127"
"05.01.2021 03:00 - 05.01.2021 04:00","1218","1218","127","127"
"05.01.2021 04:00 - 05.01.2021 05:00","539","770","187","194"
"05.01.2021 05:00 - 05.01.2021 06:00","405","994","541","541"
