"Time (UTC)","Denmark (DK) > Germany (DE) Day Ahead [MW]","Denmark (DK) > Germany (DE) Total [MW]","Germany (DE) > Denmark (DK) Day Ahead [MW]","Germany (DE) > Denmark (DK) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","2699","2951","0","193"
"01.01.2021 01:00 - 01.01.2021 02:00","2656","2657","0","82"
"01.01.2021 02:00 - 01.01.2021 03:00","2407","2559","0","3"
"01.01.2021 03:00 - 01.01.2021 04:00","2457","2478","0","35"
"01.01.2021 04:00 - 01.01.2021 05:00","2571","2593","0","148"
"01.01.2021 05:00 - 01.01.2021 06:00","2578","2578","0","229"
"01.01.2021 06:00 - 01.01.2021 07:00","2562","2562","0","210"
"01.01.2021 07:00 - 01.01.2021 08:00","2522","2522","0","237"
"01.01.2021 08:00 - 01.01.2021 09:00","2536","2536","0","220"
"01.01.2021 09:00 - 01.01.2021 10:00","2405","2415","0","258"
"01.01.2021 10:00 - 01.01.2021 11:00","2338","2429","0","291"
"01.01.2021 11:00 - 01.01.2021 12:00","2528","2628","0","157"
"01.01.2021 12:00 - 01.01.2021 13:00","2421","2687","0","160"
"01.01.2021 13:00 - 01.01.2021 14:00","2313","2475","0","121"
"01.01.2021 14:00 - 01.01.2021 15:00","2211","2485","0","38"
"01.01.2021 15:00 - 01.01.2021 16:00","2138","2350","0","85"
"01.01.2021 16:00 - 01.01.2021 17:00","2029","2154","0","0"
"01.01.2021 17:00 - 01.01.2021 18:00","2187","2207","0","128"
"01.01.2021 18:00 - 01.01.2021 19:00","2449","2449","0","154"
"01.01.2021 19:00 - 01.01.2021 20:00","2625","2761","0","210"
"01.01.2021 20:00 - 01.01.2021 21:00","2672","2856","0","192"
"01.01.2021 21:00 - 01.01.2021 22:00","2861","2934","0","102"
"01.01.2021 22:00 - 01.01.2021 23:00","2939","3111","0","111"
"01.01.2021 23:00 - 02.01.2021 00:00","2648","2683","0","7"
"02.01.2021 00:00 - 02.01.2021 01:00","2673","2747","0","15"
"02.01.2021 01:00 - 02.01.2021 02:00","2578","2636","0","48"
"02.01.2021 02:00 - 02.01.2021 03:00","2546","2564","0","35"
"02.01.2021 03:00 - 02.01.2021 04:00","2416","2487","0","26"
"02.01.2021 04:00 - 02.01.2021 05:00","2339","2385","0","76"
"02.01.2021 05:00 - 02.01.2021 06:00","2217","2218","0","132"
"02.01.2021 06:00 - 02.01.2021 07:00","2200","2200","0","111"
"02.01.2021 07:00 - 02.01.2021 08:00","2031","2031","0","188"
"02.01.2021 08:00 - 02.01.2021 09:00","2103","2120","0","68"
"02.01.2021 09:00 - 02.01.2021 10:00","2015","2036","0","59"
"02.01.2021 10:00 - 02.01.2021 11:00","2055","2264","0","0"
"02.01.2021 11:00 - 02.01.2021 12:00","2228","2390","0","0"
"02.01.2021 12:00 - 02.01.2021 13:00","1996","2253","0","0"
"02.01.2021 13:00 - 02.01.2021 14:00","2013","2188","0","0"
"02.01.2021 14:00 - 02.01.2021 15:00","1978","2385","0","0"
"02.01.2021 15:00 - 02.01.2021 16:00","1932","2050","0","5"
"02.01.2021 16:00 - 02.01.2021 17:00","1759","1802","0","107"
"02.01.2021 17:00 - 02.01.2021 18:00","1988","2061","0","120"
"02.01.2021 18:00 - 02.01.2021 19:00","2408","2414","0","226"
"02.01.2021 19:00 - 02.01.2021 20:00","2725","2729","0","273"
"02.01.2021 20:00 - 02.01.2021 21:00","2716","2735","0","136"
"02.01.2021 21:00 - 02.01.2021 22:00","2798","2810","0","86"
"02.01.2021 22:00 - 02.01.2021 23:00","2813","2853","0","86"
"02.01.2021 23:00 - 03.01.2021 00:00","2952","2957","0","0"
"03.01.2021 00:00 - 03.01.2021 01:00","3158","3165","0","30"
"03.01.2021 01:00 - 03.01.2021 02:00","3153","3162","0","1"
"03.01.2021 02:00 - 03.01.2021 03:00","3143","3143","0","46"
"03.01.2021 03:00 - 03.01.2021 04:00","3090","3128","0","15"
"03.01.2021 04:00 - 03.01.2021 05:00","3065","3067","0","8"
"03.01.2021 05:00 - 03.01.2021 06:00","3085","3086","0","5"
"03.01.2021 06:00 - 03.01.2021 07:00","3085","3099","0","265"
"03.01.2021 07:00 - 03.01.2021 08:00","2885","2885","0","7"
"03.01.2021 08:00 - 03.01.2021 09:00","2695","2695","0","0"
"03.01.2021 09:00 - 03.01.2021 10:00","2485","2485","0","0"
"03.01.2021 10:00 - 03.01.2021 11:00","2355","2355","0","0"
"03.01.2021 11:00 - 03.01.2021 12:00","2295","2295","0","0"
"03.01.2021 12:00 - 03.01.2021 13:00","2365","2365","0","0"
"03.01.2021 13:00 - 03.01.2021 14:00","2365","2365","0","0"
"03.01.2021 14:00 - 03.01.2021 15:00","2405","2405","0","0"
"03.01.2021 15:00 - 03.01.2021 16:00","2465","2465","0","0"
"03.01.2021 16:00 - 03.01.2021 17:00","2535","2535","0","0"
"03.01.2021 17:00 - 03.01.2021 18:00","2525","2525","0","0"
"03.01.2021 18:00 - 03.01.2021 19:00","2545","2545","0","0"
"03.01.2021 19:00 - 03.01.2021 20:00","2535","2535","0","0"
"03.01.2021 20:00 - 03.01.2021 21:00","2535","2535","0","0"
"03.01.2021 21:00 - 03.01.2021 22:00","2555","2555","0","0"
"03.01.2021 22:00 - 03.01.2021 23:00","2585","2585","0","0"
"03.01.2021 23:00 - 04.01.2021 00:00","2555","2555","0","0"
"04.01.2021 00:00 - 04.01.2021 01:00","2555","2555","0","0"
"04.01.2021 01:00 - 04.01.2021 02:00","2555","2555","0","0"
"04.01.2021 02:00 - 04.01.2021 03:00","2555","2555","0","0"
"04.01.2021 03:00 - 04.01.2021 04:00","2545","2545","0","0"
"04.01.2021 04:00 - 04.01.2021 05:00","2565","2565","0","0"
"04.01.2021 05:00 - 04.01.2021 06:00","2485","2485","0","0"
"04.01.2021 06:00 - 04.01.2021 07:00","2375","2375","0","0"
"04.01.2021 07:00 - 04.01.2021 08:00","2315","2315","0","0"
"04.01.2021 08:00 - 04.01.2021 09:00","2255","2255","0","22"
"04.01.2021 09:00 - 04.01.2021 10:00","2225","2231","0","6"
"04.01.2021 10:00 - 04.01.2021 11:00","2345","2345","0","63"
"04.01.2021 11:00 - 04.01.2021 12:00","2285","2289","0","89"
"04.01.2021 12:00 - 04.01.2021 13:00","2385","2385","0","42"
"04.01.2021 13:00 - 04.01.2021 14:00","2365","2366","0","54"
"04.01.2021 14:00 - 04.01.2021 15:00","2425","2426","0","39"
"04.01.2021 15:00 - 04.01.2021 16:00","2255","2287","0","269"
"04.01.2021 16:00 - 04.01.2021 17:00","2395","2429","0","438"
"04.01.2021 17:00 - 04.01.2021 18:00","2495","2504","0","85"
"04.01.2021 18:00 - 04.01.2021 19:00","2485","2485","0","6"
"04.01.2021 19:00 - 04.01.2021 20:00","2345","2345","0","0"
"04.01.2021 20:00 - 04.01.2021 21:00","2245","2245","0","0"
"04.01.2021 21:00 - 04.01.2021 22:00","2375","2375","0","0"
"04.01.2021 22:00 - 04.01.2021 23:00","2275","2275","0","0"
"04.01.2021 23:00 - 05.01.2021 00:00","2545","2545","0","0"
"05.01.2021 00:00 - 05.01.2021 01:00","2525","2525","0","0"
"05.01.2021 01:00 - 05.01.2021 02:00","2485","2485","0","0"
"05.01.2021 02:00 - 05.01.2021 03:00","2485","2485","0","0"
"05.01.2021 03:00 - 05.01.2021 04:00","2475","2475","0","0"
"05.01.2021 04:00 - 05.01.2021 05:00","2465","2465","0","0"
"05.01.2021 05:00 - 05.01.2021 06:00","2395","2395","0","0"
"05.01.2021 06:00 - 05.01.2021 07:00","2335","2335","0","50"
"05.01.2021 07:00 - 05.01.2021 08:00","2325","2335","0","10"
"05.01.2021 08:00 - 05.01.2021 09:00","2355","2360","0","48"
"05.01.2021 09:00 - 05.01.2021 10:00","2335","2335","0","2"
"05.01.2021 10:00 - 05.01.2021 11:00","2305","2313","0","124"
"05.01.2021 11:00 - 05.01.2021 12:00","2315","2366","0","223"
"05.01.2021 12:00 - 05.01.2021 13:00","2345","2345","0","379"
"05.01.2021 13:00 - 05.01.2021 14:00","2285","2393","0","232"
"05.01.2021 14:00 - 05.01.2021 15:00","2325","2385","0","488"
"05.01.2021 15:00 - 05.01.2021 16:00","2309","2440","0","851"
"05.01.2021 16:00 - 05.01.2021 17:00","2295","2343","0","227"
"05.01.2021 17:00 - 05.01.2021 18:00","2295","2361","0","83"
"05.01.2021 18:00 - 05.01.2021 19:00","2335","2338","0","98"
"05.01.2021 19:00 - 05.01.2021 20:00","2325","2325","0","0"
"05.01.2021 20:00 - 05.01.2021 21:00","2295","2295","0","1"
"05.01.2021 21:00 - 05.01.2021 22:00","2365","2365","0","1"
"05.01.2021 22:00 - 05.01.2021 23:00","2455","2455","0","0"
"05.01.2021 23:00 - 06.01.2021 00:00","2255","2255","0","0"
"06.01.2021 00:00 - 06.01.2021 01:00","2225","2225","0","0"
"06.01.2021 01:00 - 06.01.2021 02:00","2195","2195","0","0"
"06.01.2021 02:00 - 06.01.2021 03:00","2155","2155","0","0"
"06.01.2021 03:00 - 06.01.2021 04:00","2105","2105","0","0"
"06.01.2021 04:00 - 06.01.2021 05:00","2075","2075","0","0"
"06.01.2021 05:00 - 06.01.2021 06:00","1981","1981","0","0"
"06.01.2021 06:00 - 06.01.2021 07:00","1995","1995","0","0"
"06.01.2021 07:00 - 06.01.2021 08:00","1985","1985","0","0"
"06.01.2021 08:00 - 06.01.2021 09:00","1981","1981","0","0"
"06.01.2021 09:00 - 06.01.2021 10:00","1981","2010","0","70"
"06.01.2021 10:00 - 06.01.2021 11:00","2005","2009","0","16"
"06.01.2021 11:00 - 06.01.2021 12:00","2035","2035","0","1"
"06.01.2021 12:00 - 06.01.2021 13:00","2135","2137","0","20"
"06.01.2021 13:00 - 06.01.2021 14:00","2045","2078","0","316"
"06.01.2021 14:00 - 06.01.2021 15:00","2055","2359","0","1045"
"06.01.2021 15:00 - 06.01.2021 16:00","2085","2258","0","1196"
"06.01.2021 16:00 - 06.01.2021 17:00","2205","2361","0","934"
"06.01.2021 17:00 - 06.01.2021 18:00","2505","2749","0","752"
"06.01.2021 18:00 - 06.01.2021 19:00","2655","2699","0","449"
"06.01.2021 19:00 - 06.01.2021 20:00","2545","2652","0","254"
"06.01.2021 20:00 - 06.01.2021 21:00","2525","2611","0","46"
"06.01.2021 21:00 - 06.01.2021 22:00","2535","2641","0","38"
"06.01.2021 22:00 - 06.01.2021 23:00","2375","2533","0","0"
"06.01.2021 23:00 - 07.01.2021 00:00","2655","2688","0","6"
"07.01.2021 00:00 - 07.01.2021 01:00","2594","2594","0","92"
"07.01.2021 01:00 - 07.01.2021 02:00","2596","2627","0","69"
"07.01.2021 02:00 - 07.01.2021 03:00","2602","2629","0","37"
"07.01.2021 03:00 - 07.01.2021 04:00","2553","2579","0","74"
"07.01.2021 04:00 - 07.01.2021 05:00","2632","2654","0","0"
"07.01.2021 05:00 - 07.01.2021 06:00","2815","2831","0","143"
"07.01.2021 06:00 - 07.01.2021 07:00","2524","2641","0","169"
"07.01.2021 07:00 - 07.01.2021 08:00","2600","2610","0","379"
"07.01.2021 08:00 - 07.01.2021 09:00","2521","2625","0","206"
"07.01.2021 09:00 - 07.01.2021 10:00","2469","2585","0","150"
"07.01.2021 10:00 - 07.01.2021 11:00","2301","2466","0","76"
"07.01.2021 11:00 - 07.01.2021 12:00","2385","2558","0","2"
"07.01.2021 12:00 - 07.01.2021 13:00","2415","2558","0","173"
