"Time (UTC)","France (FR) > Germany (DE) Day Ahead [MW]","France (FR) > Germany (DE) Total [MW]","Germany (DE) > France (FR) Day Ahead [MW]","Germany (DE) > France (FR) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","489","2726","2784"
"01.01.2021 01:00 - 01.01.2021 02:00","0","382","2741","3633"
"01.01.2021 02:00 - 01.01.2021 03:00","0","30","1458","1783"
"01.01.2021 03:00 - 01.01.2021 04:00","163","163","0","381"
"01.01.2021 04:00 - 01.01.2021 05:00","0","7","584","1390"
"01.01.2021 05:00 - 01.01.2021 06:00","0","0","1099","1961"
"01.01.2021 06:00 - 01.01.2021 07:00","0","10","1253","1903"
"01.01.2021 07:00 - 01.01.2021 08:00","0","430","1726","1732"
"01.01.2021 08:00 - 01.01.2021 09:00","0","276","1745","1826"
"01.01.2021 09:00 - 01.01.2021 10:00","0","935","1973","2142"
"01.01.2021 10:00 - 01.01.2021 11:00","0","1203","2029","2179"
"01.01.2021 11:00 - 01.01.2021 12:00","0","1012","2769","3274"
"01.01.2021 12:00 - 01.01.2021 13:00","0","1159","2673","2891"
"01.01.2021 13:00 - 01.01.2021 14:00","0","1186","1761","2143"
"01.01.2021 14:00 - 01.01.2021 15:00","0","1284","817","1816"
"01.01.2021 15:00 - 01.01.2021 16:00","1121","1155","0","1351"
"01.01.2021 16:00 - 01.01.2021 17:00","0","892","245","1150"
"01.01.2021 17:00 - 01.01.2021 18:00","0","1091","1018","1802"
"01.01.2021 18:00 - 01.01.2021 19:00","0","981","2535","3255"
"01.01.2021 19:00 - 01.01.2021 20:00","0","834","2455","2957"
"01.01.2021 20:00 - 01.01.2021 21:00","0","882","2762","3352"
"01.01.2021 21:00 - 01.01.2021 22:00","0","1105","3099","3829"
"01.01.2021 22:00 - 01.01.2021 23:00","0","1834","4635","4763"
"01.01.2021 23:00 - 02.01.2021 00:00","0","100","3167","3553"
"02.01.2021 00:00 - 02.01.2021 01:00","0","38","3055","3245"
"02.01.2021 01:00 - 02.01.2021 02:00","0","623","2446","2708"
"02.01.2021 02:00 - 02.01.2021 03:00","0","473","1570","2427"
"02.01.2021 03:00 - 02.01.2021 04:00","0","352","945","1670"
"02.01.2021 04:00 - 02.01.2021 05:00","0","0","890","2217"
"02.01.2021 05:00 - 02.01.2021 06:00","0","50","1566","2767"
"02.01.2021 06:00 - 02.01.2021 07:00","0","398","2536","3935"
"02.01.2021 07:00 - 02.01.2021 08:00","0","458","3050","3495"
"02.01.2021 08:00 - 02.01.2021 09:00","0","25","2431","3387"
"02.01.2021 09:00 - 02.01.2021 10:00","0","20","2046","2914"
"02.01.2021 10:00 - 02.01.2021 11:00","0","1","1573","2658"
"02.01.2021 11:00 - 02.01.2021 12:00","0","210","2191","2889"
"02.01.2021 12:00 - 02.01.2021 13:00","0","416","1359","2133"
"02.01.2021 13:00 - 02.01.2021 14:00","0","100","807","1926"
"02.01.2021 14:00 - 02.01.2021 15:00","0","0","200","879"
"02.01.2021 15:00 - 02.01.2021 16:00","529","579","0","1101"
"02.01.2021 16:00 - 02.01.2021 17:00","0","484","354","1644"
"02.01.2021 17:00 - 02.01.2021 18:00","0","400","1710","3100"
"02.01.2021 18:00 - 02.01.2021 19:00","0","413","3427","4020"
"02.01.2021 19:00 - 02.01.2021 20:00","0","156","3659","4124"
"02.01.2021 20:00 - 02.01.2021 21:00","0","66","3982","4453"
"02.01.2021 21:00 - 02.01.2021 22:00","0","200","4562","4801"
"02.01.2021 22:00 - 02.01.2021 23:00","0","543","5728","5746"
"02.01.2021 23:00 - 03.01.2021 00:00","0","494","5329","5329"
"03.01.2021 00:00 - 03.01.2021 01:00","0","435","5652","5652"
"03.01.2021 01:00 - 03.01.2021 02:00","0","423","5464","5464"
"03.01.2021 02:00 - 03.01.2021 03:00","0","400","4487","4487"
"03.01.2021 03:00 - 03.01.2021 04:00","0","400","4014","4014"
"03.01.2021 04:00 - 03.01.2021 05:00","0","400","4277","4277"
"03.01.2021 05:00 - 03.01.2021 06:00","0","400","5389","5389"
"03.01.2021 06:00 - 03.01.2021 07:00","0","400","6591","6591"
"03.01.2021 07:00 - 03.01.2021 08:00","0","400","7832","7832"
"03.01.2021 08:00 - 03.01.2021 09:00","0","400","6496","6496"
"03.01.2021 09:00 - 03.01.2021 10:00","0","400","5517","5517"
"03.01.2021 10:00 - 03.01.2021 11:00","0","400","5319","5319"
"03.01.2021 11:00 - 03.01.2021 12:00","0","400","5740","5740"
"03.01.2021 12:00 - 03.01.2021 13:00","0","400","5757","5757"
"03.01.2021 13:00 - 03.01.2021 14:00","0","400","6096","6096"
"03.01.2021 14:00 - 03.01.2021 15:00","0","1349","5708","5709"
"03.01.2021 15:00 - 03.01.2021 16:00","0","400","3707","3707"
"03.01.2021 16:00 - 03.01.2021 17:00","0","565","4814","4814"
"03.01.2021 17:00 - 03.01.2021 18:00","0","586","6256","6256"
"03.01.2021 18:00 - 03.01.2021 19:00","0","1496","6261","6261"
"03.01.2021 19:00 - 03.01.2021 20:00","0","1249","5786","5786"
"03.01.2021 20:00 - 03.01.2021 21:00","0","1594","5017","5017"
"03.01.2021 21:00 - 03.01.2021 22:00","0","1136","6109","6109"
"03.01.2021 22:00 - 03.01.2021 23:00","0","445","4781","4781"
"03.01.2021 23:00 - 04.01.2021 00:00","0","0","5041","5041"
"04.01.2021 00:00 - 04.01.2021 01:00","0","365","3764","3864"
"04.01.2021 01:00 - 04.01.2021 02:00","0","211","4396","4606"
"04.01.2021 02:00 - 04.01.2021 03:00","0","76","4516","4591"
"04.01.2021 03:00 - 04.01.2021 04:00","0","1248","4145","4220"
"04.01.2021 04:00 - 04.01.2021 05:00","0","2923","5544","5674"
"04.01.2021 05:00 - 04.01.2021 06:00","0","394","5391","5426"
"04.01.2021 06:00 - 04.01.2021 07:00","0","1721","5251","5251"
"04.01.2021 07:00 - 04.01.2021 08:00","0","1637","5393","5393"
"04.01.2021 08:00 - 04.01.2021 09:00","0","1882","4973","4973"
"04.01.2021 09:00 - 04.01.2021 10:00","0","1433","5103","5103"
"04.01.2021 10:00 - 04.01.2021 11:00","0","3392","5280","5280"
"04.01.2021 11:00 - 04.01.2021 12:00","0","1557","5276","5276"
"04.01.2021 12:00 - 04.01.2021 13:00","0","2663","5410","5410"
"04.01.2021 13:00 - 04.01.2021 14:00","0","2272","5139","5139"
"04.01.2021 14:00 - 04.01.2021 15:00","0","3342","5346","5346"
"04.01.2021 15:00 - 04.01.2021 16:00","0","1941","5515","5515"
"04.01.2021 16:00 - 04.01.2021 17:00","0","1964","4848","4848"
"04.01.2021 17:00 - 04.01.2021 18:00","0","807","4544","4544"
"04.01.2021 18:00 - 04.01.2021 19:00","0","969","4372","4372"
"04.01.2021 19:00 - 04.01.2021 20:00","0","4","4594","4594"
"04.01.2021 20:00 - 04.01.2021 21:00","0","0","5158","5158"
"04.01.2021 21:00 - 04.01.2021 22:00","0","67","5875","5875"
"04.01.2021 22:00 - 04.01.2021 23:00","0","0","6270","6270"
"04.01.2021 23:00 - 05.01.2021 00:00","0","67","4110","4110"
"05.01.2021 00:00 - 05.01.2021 01:00","0","0","4319","4319"
"05.01.2021 01:00 - 05.01.2021 02:00","0","0","4479","4479"
"05.01.2021 02:00 - 05.01.2021 03:00","0","280","4704","4704"
"05.01.2021 03:00 - 05.01.2021 04:00","0","416","4694","4694"
"05.01.2021 04:00 - 05.01.2021 05:00","0","319","4760","4760"
"05.01.2021 05:00 - 05.01.2021 06:00","0","319","5716","5716"
"05.01.2021 06:00 - 05.01.2021 07:00","0","841","5804","5804"
"05.01.2021 07:00 - 05.01.2021 08:00","0","437","7115","7115"
"05.01.2021 08:00 - 05.01.2021 09:00","0","838","5803","5803"
"05.01.2021 09:00 - 05.01.2021 10:00","0","452","6139","6139"
"05.01.2021 10:00 - 05.01.2021 11:00","0","855","5886","5886"
"05.01.2021 11:00 - 05.01.2021 12:00","0","342","5772","5772"
"05.01.2021 12:00 - 05.01.2021 13:00","0","872","5463","5463"
"05.01.2021 13:00 - 05.01.2021 14:00","0","684","5483","5483"
"05.01.2021 14:00 - 05.01.2021 15:00","0","485","5548","5548"
"05.01.2021 15:00 - 05.01.2021 16:00","0","612","6134","6134"
"05.01.2021 16:00 - 05.01.2021 17:00","0","943","6851","6851"
"05.01.2021 17:00 - 05.01.2021 18:00","0","300","5145","5145"
"05.01.2021 18:00 - 05.01.2021 19:00","0","300","4481","4481"
"05.01.2021 19:00 - 05.01.2021 20:00","0","310","5431","5431"
"05.01.2021 20:00 - 05.01.2021 21:00","0","333","5884","5884"
"05.01.2021 21:00 - 05.01.2021 22:00","0","442","6209","6209"
"05.01.2021 22:00 - 05.01.2021 23:00","0","381","6384","6384"
"05.01.2021 23:00 - 06.01.2021 00:00","0","300","5728","5728"
"06.01.2021 00:00 - 06.01.2021 01:00","0","300","5386","5386"
"06.01.2021 01:00 - 06.01.2021 02:00","0","300","5016","5016"
"06.01.2021 02:00 - 06.01.2021 03:00","0","300","4450","4450"
"06.01.2021 03:00 - 06.01.2021 04:00","0","359","4848","4848"
"06.01.2021 04:00 - 06.01.2021 05:00","0","357","6294","6294"
"06.01.2021 05:00 - 06.01.2021 06:00","0","644","6410","6410"
"06.01.2021 06:00 - 06.01.2021 07:00","0","645","4337","4338"
"06.01.2021 07:00 - 06.01.2021 08:00","0","149","4529","4529"
"06.01.2021 08:00 - 06.01.2021 09:00","0","135","3991","4125"
"06.01.2021 09:00 - 06.01.2021 10:00","0","0","3121","3121"
"06.01.2021 10:00 - 06.01.2021 11:00","0","55","3001","3055"
"06.01.2021 11:00 - 06.01.2021 12:00","0","90","3588","3678"
"06.01.2021 12:00 - 06.01.2021 13:00","0","0","3560","3560"
"06.01.2021 13:00 - 06.01.2021 14:00","0","0","2825","2825"
