"Time (UTC)","Netherlands (NL) > Germany (DE) Day Ahead [MW]","Netherlands (NL) > Germany (DE) Total [MW]","Germany (DE) > Netherlands (NL) Day Ahead [MW]","Germany (DE) > Netherlands (NL) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","0","1692","2066"
"01.01.2021 01:00 - 01.01.2021 02:00","0","46","1938","2004"
"01.01.2021 02:00 - 01.01.2021 03:00","0","0","1984","2012"
"01.01.2021 03:00 - 01.01.2021 04:00","0","44","1801","1984"
"01.01.2021 04:00 - 01.01.2021 05:00","0","0","1965","2275"
"01.01.2021 05:00 - 01.01.2021 06:00","0","0","2173","2409"
"01.01.2021 06:00 - 01.01.2021 07:00","0","7","2216","2264"
"01.01.2021 07:00 - 01.01.2021 08:00","0","15","2584","2712"
"01.01.2021 08:00 - 01.01.2021 09:00","0","20","2053","2152"
"01.01.2021 09:00 - 01.01.2021 10:00","0","0","2000","2164"
"01.01.2021 10:00 - 01.01.2021 11:00","0","0","1743","1907"
"01.01.2021 11:00 - 01.01.2021 12:00","0","2","1816","1888"
"01.01.2021 12:00 - 01.01.2021 13:00","0","12","1862","1880"
"01.01.2021 13:00 - 01.01.2021 14:00","0","200","1642","1642"
"01.01.2021 14:00 - 01.01.2021 15:00","0","5","1439","1454"
"01.01.2021 15:00 - 01.01.2021 16:00","0","476","1233","1233"
"01.01.2021 16:00 - 01.01.2021 17:00","0","479","1919","1919"
"01.01.2021 17:00 - 01.01.2021 18:00","0","386","1680","1680"
"01.01.2021 18:00 - 01.01.2021 19:00","0","374","1789","1789"
"01.01.2021 19:00 - 01.01.2021 20:00","0","517","1079","1079"
"01.01.2021 20:00 - 01.01.2021 21:00","0","437","859","867"
"01.01.2021 21:00 - 01.01.2021 22:00","0","187","794","794"
"01.01.2021 22:00 - 01.01.2021 23:00","0","439","1327","1376"
"01.01.2021 23:00 - 02.01.2021 00:00","0","392","1310","1310"
"02.01.2021 00:00 - 02.01.2021 01:00","0","296","2202","2202"
"02.01.2021 01:00 - 02.01.2021 02:00","0","705","2502","2522"
"02.01.2021 02:00 - 02.01.2021 03:00","0","453","2291","2294"
"02.01.2021 03:00 - 02.01.2021 04:00","0","500","2160","2218"
"02.01.2021 04:00 - 02.01.2021 05:00","0","295","2123","2125"
"02.01.2021 05:00 - 02.01.2021 06:00","0","320","2369","2372"
"02.01.2021 06:00 - 02.01.2021 07:00","0","143","1628","1628"
"02.01.2021 07:00 - 02.01.2021 08:00","0","194","554","554"
"02.01.2021 08:00 - 02.01.2021 09:00","0","12","101","136"
"02.01.2021 09:00 - 02.01.2021 10:00","38","38","9","111"
"02.01.2021 10:00 - 02.01.2021 11:00","315","322","2","48"
"02.01.2021 11:00 - 02.01.2021 12:00","342","584","9","9"
"02.01.2021 12:00 - 02.01.2021 13:00","579","631","9","10"
"02.01.2021 13:00 - 02.01.2021 14:00","681","685","9","186"
"02.01.2021 14:00 - 02.01.2021 15:00","689","707","9","54"
"02.01.2021 15:00 - 02.01.2021 16:00","653","750","9","41"
"02.01.2021 16:00 - 02.01.2021 17:00","0","0","61","181"
"02.01.2021 17:00 - 02.01.2021 18:00","118","118","2","208"
