"Time (UTC)","Norway (NO) > Germany (DE) Day Ahead [MW]","Norway (NO) > Germany (DE) Total [MW]","Germany (DE) > Norway (NO) Day Ahead [MW]","Germany (DE) > Norway (NO) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","700","700","0","0"
"01.01.2021 01:00 - 01.01.2021 02:00","700","700","0","0"
"01.01.2021 02:00 - 01.01.2021 03:00","700","700","0","0"
"01.01.2021 03:00 - 01.01.2021 04:00","700","700","0","0"
"01.01.2021 04:00 - 01.01.2021 05:00","700","700","0","0"
"01.01.2021 05:00 - 01.01.2021 06:00","700","700","0","0"
"01.01.2021 06:00 - 01.01.2021 07:00","700","700","0","0"
"01.01.2021 07:00 - 01.01.2021 08:00","700","700","0","0"
"01.01.2021 08:00 - 01.01.2021 09:00","700","700","0","0"
"01.01.2021 09:00 - 01.01.2021 10:00","700","700","0","0"
"01.01.2021 10:00 - 01.01.2021 11:00","700","700","0","0"
"01.01.2021 11:00 - 01.01.2021 12:00","700","700","0","0"
"01.01.2021 12:00 - 01.01.2021 13:00","700","700","0","0"
"01.01.2021 13:00 - 01.01.2021 14:00","700","700","0","0"
"01.01.2021 14:00 - 01.01.2021 15:00","700","700","0","0"
"01.01.2021 15:00 - 01.01.2021 16:00","700","700","0","0"
"01.01.2021 16:00 - 01.01.2021 17:00","700","700","0","0"
"01.01.2021 17:00 - 01.01.2021 18:00","700","700","0","0"
"01.01.2021 18:00 - 01.01.2021 19:00","700","700","0","0"
"01.01.2021 19:00 - 01.01.2021 20:00","700","700","0","0"
"01.01.2021 20:00 - 01.01.2021 21:00","700","700","0","0"
"01.01.2021 21:00 - 01.01.2021 22:00","700","700","0","0"
"01.01.2021 22:00 - 01.01.2021 23:00","700","700","0","0"
"01.01.2021 23:00 - 02.01.2021 00:00","700","700","0","0"
"02.01.2021 00:00 - 02.01.2021 01:00","700","700","0","0"
"02.01.2021 01:00 - 02.01.2021 02:00","700","700","0","0"
"02.01.2021 02:00 - 02.01.2021 03:00","700","700","0","0"
"02.01.2021 03:00 - 02.01.2021 04:00","700","700","0","0"
"02.01.2021 04:00 - 02.01.2021 05:00","700","700","0","0"
"02.01.2021 05:00 - 02.01.2021 06:00","700","700","0","0"
"02.01.2021 06:00 - 02.01.2021 07:00","700","700","0","0"
"02.01.2021 07:00 - 02.01.2021 08:00","700","700","0","0"
"02.01.2021 08:00 - 02.01.2021 09:00","700","700","0","0"
"02.01.2021 09:00 - 02.01.2021 10:00","700","700","0","0"
"02.01.2021 10:00 - 02.01.2021 11:00","700","700","0","0"
"02.01.2021 11:00 - 02.01.2021 12:00","700","700","0","0"
"02.01.2021 12:00 - 02.01.2021 13:00","700","700","0","0"
"02.01.2021 13:00 - 02.01.2021 14:00","700","700","0","0"
"02.01.2021 14:00 - 02.01.2021 15:00","700","700","0","0"
"02.01.2021 15:00 - 02.01.2021 16:00","700","700","0","0"
"02.01.2021 16:00 - 02.01.2021 17:00","700","700","0","0"
"02.01.2021 17:00 - 02.01.2021 18:00","700","700","0","0"
"02.01.2021 18:00 - 02.01.2021 19:00","700","700","0","0"
"02.01.2021 19:00 - 02.01.2021 20:00","700","700","0","0"
"02.01.2021 20:00 - 02.01.2021 21:00","700","700","0","0"
"02.01.2021 21:00 - 02.01.2021 22:00","700","700","0","0"
"02.01.2021 22:00 - 02.01.2021 23:00","700","700","0","0"
"02.01.2021 23:00 - 03.01.2021 00:00","649","649","0","0"
"03.01.2021 00:00 - 03.01.2021 01:00","660","660","0","0"
"03.01.2021 01:00 - 03.01.2021 02:00","660","660","0","0"
"03.01.2021 02:00 - 03.01.2021 03:00","660","660","0","0"
"03.01.2021 03:00 - 03.01.2021 04:00","649","650","0","0"
"03.01.2021 04:00 - 03.01.2021 05:00","640","646","0","6"
"03.01.2021 05:00 - 03.01.2021 06:00","619","620","0","20"
"03.01.2021 06:00 - 03.01.2021 07:00","570","611","0","41"
"03.01.2021 07:00 - 03.01.2021 08:00","559","560","0","0"
"03.01.2021 08:00 - 03.01.2021 09:00","529","530","0","0"
"03.01.2021 09:00 - 03.01.2021 10:00","480","480","0","0"
"03.01.2021 10:00 - 03.01.2021 11:00","470","470","0","0"
"03.01.2021 11:00 - 03.01.2021 12:00","380","380","0","0"
"03.01.2021 12:00 - 03.01.2021 13:00","320","320","0","0"
"03.01.2021 13:00 - 03.01.2021 14:00","330","330","0","0"
"03.01.2021 14:00 - 03.01.2021 15:00","279","280","0","0"
"03.01.2021 15:00 - 03.01.2021 16:00","209","210","0","0"
"03.01.2021 16:00 - 03.01.2021 17:00","130","130","0","0"
"03.01.2021 17:00 - 03.01.2021 18:00","130","130","0","0"
"03.01.2021 18:00 - 03.01.2021 19:00","130","130","0","0"
"03.01.2021 19:00 - 03.01.2021 20:00","130","130","0","0"
"03.01.2021 20:00 - 03.01.2021 21:00","130","130","0","0"
"03.01.2021 21:00 - 03.01.2021 22:00","140","140","0","0"
"03.01.2021 22:00 - 03.01.2021 23:00","140","140","0","0"
"03.01.2021 23:00 - 04.01.2021 00:00","130","130","0","0"
"04.01.2021 00:00 - 04.01.2021 01:00","75","140","0","0"
"04.01.2021 01:00 - 04.01.2021 02:00","78","140","0","0"
"04.01.2021 02:00 - 04.01.2021 03:00","113","140","0","0"
"04.01.2021 03:00 - 04.01.2021 04:00","130","130","0","0"
"04.01.2021 04:00 - 04.01.2021 05:00","140","140","0","0"
"04.01.2021 05:00 - 04.01.2021 06:00","190","190","0","0"
"04.01.2021 06:00 - 04.01.2021 07:00","299","300","0","0"
"04.01.2021 07:00 - 04.01.2021 08:00","369","370","0","0"
"04.01.2021 08:00 - 04.01.2021 09:00","420","420","0","0"
"04.01.2021 09:00 - 04.01.2021 10:00","362","460","0","0"
"04.01.2021 10:00 - 04.01.2021 11:00","489","498","0","8"
"04.01.2021 11:00 - 04.01.2021 12:00","480","480","0","0"
"04.01.2021 12:00 - 04.01.2021 13:00","499","506","0","6"
"04.01.2021 13:00 - 04.01.2021 14:00","499","512","0","12"
"04.01.2021 14:00 - 04.01.2021 15:00","206","520","0","0"
"04.01.2021 15:00 - 04.01.2021 16:00","168","470","0","0"
"04.01.2021 16:00 - 04.01.2021 17:00","64","420","0","0"
"04.01.2021 17:00 - 04.01.2021 18:00","363","437","0","47"
"04.01.2021 18:00 - 04.01.2021 19:00","410","410","0","0"
"04.01.2021 19:00 - 04.01.2021 20:00","420","420","0","0"
"04.01.2021 20:00 - 04.01.2021 21:00","450","450","0","0"
"04.01.2021 21:00 - 04.01.2021 22:00","480","480","0","0"
"04.01.2021 22:00 - 04.01.2021 23:00","450","450","0","0"
"04.01.2021 23:00 - 05.01.2021 00:00","160","160","0","0"
"05.01.2021 00:00 - 05.01.2021 01:00","190","190","0","0"
"05.01.2021 01:00 - 05.01.2021 02:00","220","220","0","0"
"05.01.2021 02:00 - 05.01.2021 03:00","220","220","0","0"
"05.01.2021 03:00 - 05.01.2021 04:00","230","230","0","0"
"05.01.2021 04:00 - 05.01.2021 05:00","230","230","0","0"
"05.01.2021 05:00 - 05.01.2021 06:00","260","260","0","0"
"05.01.2021 06:00 - 05.01.2021 07:00","309","310","0","0"
"05.01.2021 07:00 - 05.01.2021 08:00","330","330","0","0"
"05.01.2021 08:00 - 05.01.2021 09:00","290","292","0","5"
"05.01.2021 09:00 - 05.01.2021 10:00","309","319","0","9"
"05.01.2021 10:00 - 05.01.2021 11:00","339","404","0","208"
"05.01.2021 11:00 - 05.01.2021 12:00","320","375","0","68"
"05.01.2021 12:00 - 05.01.2021 13:00","20","280","0","0"
"05.01.2021 13:00 - 05.01.2021 14:00","278","308","0","0"
"05.01.2021 14:00 - 05.01.2021 15:00","0","289","0","0"
"05.01.2021 15:00 - 05.01.2021 16:00","0","314","0","26"
"05.01.2021 16:00 - 05.01.2021 17:00","275","370","0","0"
"05.01.2021 17:00 - 05.01.2021 18:00","380","380","0","0"
"05.01.2021 18:00 - 05.01.2021 19:00","350","350","0","0"
"05.01.2021 19:00 - 05.01.2021 20:00","350","350","0","0"
"05.01.2021 20:00 - 05.01.2021 21:00","380","380","0","0"
"05.01.2021 21:00 - 05.01.2021 22:00","350","350","0","0"
"05.01.2021 22:00 - 05.01.2021 23:00","260","260","0","0"
"05.01.2021 23:00 - 06.01.2021 00:00","459","460","0","0"
"06.01.2021 00:00 - 06.01.2021 01:00","499","500","0","0"
"06.01.2021 01:00 - 06.01.2021 02:00","540","540","0","0"
"06.01.2021 02:00 - 06.01.2021 03:00","580","580","0","0"
"06.01.2021 03:00 - 06.01.2021 04:00","640","640","0","0"
"06.01.2021 04:00 - 06.01.2021 05:00","670","670","0","0"
"06.01.2021 05:00 - 06.01.2021 06:00","760","760","0","0"
"06.01.2021 06:00 - 06.01.2021 07:00","700","700","0","0"
"06.01.2021 07:00 - 06.01.2021 08:00","720","720","0","0"
"06.01.2021 08:00 - 06.01.2021 09:00","749","770","0","20"
"06.01.2021 09:00 - 06.01.2021 10:00","709","711","0","2"
"06.01.2021 10:00 - 06.01.2021 11:00","660","660","0","0"
"06.01.2021 11:00 - 06.01.2021 12:00","649","650","0","0"
"06.01.2021 12:00 - 06.01.2021 13:00","540","540","0","0"
"06.01.2021 13:00 - 06.01.2021 14:00","630","630","0","3"
"06.01.2021 14:00 - 06.01.2021 15:00","630","705","0","109"
"06.01.2021 15:00 - 06.01.2021 16:00","610","664","0","88"
"06.01.2021 16:00 - 06.01.2021 17:00","523","880","0","308"
"06.01.2021 17:00 - 06.01.2021 18:00","425","644","0","64"
"06.01.2021 18:00 - 06.01.2021 19:00","589","595","0","33"
"06.01.2021 19:00 - 06.01.2021 20:00","600","622","0","21"
"06.01.2021 20:00 - 06.01.2021 21:00","619","620","0","0"
"06.01.2021 21:00 - 06.01.2021 22:00","610","610","0","0"
"06.01.2021 22:00 - 06.01.2021 23:00","670","670","0","0"
"06.01.2021 23:00 - 07.01.2021 00:00","880","960","0","0"
"07.01.2021 00:00 - 07.01.2021 01:00","920","1040","0","0"
"07.01.2021 01:00 - 07.01.2021 02:00","920","1100","0","0"
"07.01.2021 02:00 - 07.01.2021 03:00","910","1120","0","0"
"07.01.2021 03:00 - 07.01.2021 04:00","920","1100","0","0"
"07.01.2021 04:00 - 07.01.2021 05:00","899","1070","0","0"
"07.01.2021 05:00 - 07.01.2021 06:00","663","815","0","0"
"07.01.2021 06:00 - 07.01.2021 07:00","364","593","0","0"
"07.01.2021 07:00 - 07.01.2021 08:00","64","563","0","0"
"07.01.2021 08:00 - 07.01.2021 09:00","348","863","0","0"
"07.01.2021 09:00 - 07.01.2021 10:00","355","930","0","0"
"07.01.2021 10:00 - 07.01.2021 11:00","643","950","0","0"
"07.01.2021 11:00 - 07.01.2021 12:00","832","1000","0","0"
"07.01.2021 12:00 - 07.01.2021 13:00","533","1030","0","0"
"07.01.2021 13:00 - 07.01.2021 14:00","234","902","0","0"
"07.01.2021 14:00 - 07.01.2021 15:00","0","637","0","0"
"07.01.2021 15:00 - 07.01.2021 16:00","0","359","0","0"
"07.01.2021 16:00 - 07.01.2021 17:00","54","228","0","0"
"07.01.2021 17:00 - 07.01.2021 18:00","354","529","0","0"
"07.01.2021 18:00 - 07.01.2021 19:00","639","828","0","0"
"07.01.2021 19:00 - 07.01.2021 20:00","588","1032","0","0"
"07.01.2021 20:00 - 07.01.2021 21:00","664","1090","0","0"
"07.01.2021 21:00 - 07.01.2021 22:00","862","1147","0","0"
"07.01.2021 22:00 - 07.01.2021 23:00","869","983","0","0"
"07.01.2021 23:00 - 08.01.2021 00:00","569","910","0","0"
"08.01.2021 00:00 - 08.01.2021 01:00","270","735","0","0"
"08.01.2021 01:00 - 08.01.2021 02:00","15","548","0","0"
"08.01.2021 02:00 - 08.01.2021 03:00","0","499","0","0"
"08.01.2021 03:00 - 08.01.2021 04:00","0","612","0","0"
"08.01.2021 04:00 - 08.01.2021 05:00","0","550","0","0"
"08.01.2021 05:00 - 08.01.2021 06:00","0","728","0","0"
"08.01.2021 06:00 - 08.01.2021 07:00","0","523","0","0"
"08.01.2021 07:00 - 08.01.2021 08:00","0","538","0","0"
"08.01.2021 08:00 - 08.01.2021 09:00","0","479","0","0"
"08.01.2021 09:00 - 08.01.2021 10:00","0","570","0","0"
"08.01.2021 10:00 - 08.01.2021 11:00","0","864","0","0"
"08.01.2021 11:00 - 08.01.2021 12:00","0","850","0","0"
"08.01.2021 12:00 - 08.01.2021 13:00","0","864","0","0"
"08.01.2021 13:00 - 08.01.2021 14:00","0","808","0","23"
"08.01.2021 14:00 - 08.01.2021 15:00","0","680","0","57"
"08.01.2021 15:00 - 08.01.2021 16:00","0","775","0","48"
"08.01.2021 16:00 - 08.01.2021 17:00","69","777","0","31"
"08.01.2021 17:00 - 08.01.2021 18:00","368","800","0","0"
"08.01.2021 18:00 - 08.01.2021 19:00","668","780","0","0"
"08.01.2021 19:00 - 08.01.2021 20:00","368","790","0","0"
"08.01.2021 20:00 - 08.01.2021 21:00","69","870","0","0"
"08.01.2021 21:00 - 08.01.2021 22:00","0","880","0","0"
"08.01.2021 22:00 - 08.01.2021 23:00","0","970","0","0"
"08.01.2021 23:00 - 09.01.2021 00:00","299","1204","0","0"
"09.01.2021 00:00 - 09.01.2021 01:00","599","1400","0","0"
"09.01.2021 01:00 - 09.01.2021 02:00","898","1400","0","0"
"09.01.2021 02:00 - 09.01.2021 03:00","1198","1400","0","0"
"09.01.2021 03:00 - 09.01.2021 04:00","1315","1387","0","8"
"09.01.2021 04:00 - 09.01.2021 05:00","1016","1277","0","0"
"09.01.2021 05:00 - 09.01.2021 06:00","716","1191","0","0"
"09.01.2021 06:00 - 09.01.2021 07:00","761","1063","0","0"
"09.01.2021 07:00 - 09.01.2021 08:00","564","814","0","0"
"09.01.2021 08:00 - 09.01.2021 09:00","864","968","0","2"
"09.01.2021 09:00 - 09.01.2021 10:00","897","1047","0","34"
"09.01.2021 10:00 - 09.01.2021 11:00","804","1232","0","0"
"09.01.2021 11:00 - 09.01.2021 12:00","821","1281","0","21"
"09.01.2021 12:00 - 09.01.2021 13:00","1121","1306","0","36"
"09.01.2021 13:00 - 09.01.2021 14:00","1007","1092","0","2"
"09.01.2021 14:00 - 09.01.2021 15:00","738","795","0","0"
"09.01.2021 15:00 - 09.01.2021 16:00","486","572","0","1"
"09.01.2021 16:00 - 09.01.2021 17:00","473","659","0","14"
"09.01.2021 17:00 - 09.01.2021 18:00","773","950","0","5"
"09.01.2021 18:00 - 09.01.2021 19:00","1072","1245","0","0"
"09.01.2021 19:00 - 09.01.2021 20:00","1200","1200","0","0"
"09.01.2021 20:00 - 09.01.2021 21:00","1220","1220","0","0"
"09.01.2021 21:00 - 09.01.2021 22:00","1200","1200","0","0"
"09.01.2021 22:00 - 09.01.2021 23:00","1209","1210","0","0"
"09.01.2021 23:00 - 10.01.2021 00:00","1140","1140","0","0"
"10.01.2021 00:00 - 10.01.2021 01:00","1080","1080","0","0"
"10.01.2021 01:00 - 10.01.2021 02:00","980","980","0","0"
"10.01.2021 02:00 - 10.01.2021 03:00","869","869","0","0"
"10.01.2021 03:00 - 10.01.2021 04:00","830","830","0","0"
"10.01.2021 04:00 - 10.01.2021 05:00","799","799","0","0"
"10.01.2021 05:00 - 10.01.2021 06:00","830","830","0","0"
"10.01.2021 06:00 - 10.01.2021 07:00","850","850","0","0"
"10.01.2021 07:00 - 10.01.2021 08:00","869","869","0","0"
"10.01.2021 08:00 - 10.01.2021 09:00","929","929","0","0"
"10.01.2021 09:00 - 10.01.2021 10:00","1029","1029","0","0"
"10.01.2021 10:00 - 10.01.2021 11:00","1040","1040","0","0"
"10.01.2021 11:00 - 10.01.2021 12:00","989","989","0","0"
"10.01.2021 12:00 - 10.01.2021 13:00","970","970","0","0"
"10.01.2021 13:00 - 10.01.2021 14:00","1010","1010","0","0"
"10.01.2021 14:00 - 10.01.2021 15:00","1040","1040","0","0"
"10.01.2021 15:00 - 10.01.2021 16:00","1119","1119","0","0"
"10.01.2021 16:00 - 10.01.2021 17:00","1100","1100","0","0"
"10.01.2021 17:00 - 10.01.2021 18:00","1119","1119","0","0"
"10.01.2021 18:00 - 10.01.2021 19:00","1119","1119","0","0"
