"Time (UTC)","Poland (PL) > Germany (DE) Day Ahead [MW]","Poland (PL) > Germany (DE) Total [MW]","Germany (DE) > Poland (PL) Day Ahead [MW]","Germany (DE) > Poland (PL) Total [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","0","0","0"
"01.01.2021 01:00 - 01.01.2021 02:00","0","1","0","0"
"01.01.2021 02:00 - 01.01.2021 03:00","0","0","0","0"
"01.01.2021 03:00 - 01.01.2021 04:00","0","0","0","0"
"01.01.2021 04:00 - 01.01.2021 05:00","0","0","0","0"
"01.01.2021 05:00 - 01.01.2021 06:00","0","0","0","0"
"01.01.2021 06:00 - 01.01.2021 07:00","27","27","0","0"
"01.01.2021 07:00 - 01.01.2021 08:00","60","60","0","0"
"01.01.2021 08:00 - 01.01.2021 09:00","60","60","0","0"
"01.01.2021 09:00 - 01.01.2021 10:00","260","260","75","75"
"01.01.2021 10:00 - 01.01.2021 11:00","260","260","200","200"
"01.01.2021 11:00 - 01.01.2021 12:00","235","265","240","240"
"01.01.2021 12:00 - 01.01.2021 13:00","136","402","260","260"
"01.01.2021 13:00 - 01.01.2021 14:00","210","424","210","210"
"01.01.2021 14:00 - 01.01.2021 15:00","260","423","210","210"
"01.01.2021 15:00 - 01.01.2021 16:00","312","482","185","185"
"01.01.2021 16:00 - 01.01.2021 17:00","255","265","0","0"
"01.01.2021 17:00 - 01.01.2021 18:00","313","313","0","0"
"01.01.2021 18:00 - 01.01.2021 19:00","312","357","0","0"
"01.01.2021 19:00 - 01.01.2021 20:00","195","304","0","0"
"01.01.2021 20:00 - 01.01.2021 21:00","157","216","0","0"
"01.01.2021 21:00 - 01.01.2021 22:00","95","100","0","0"
"01.01.2021 22:00 - 01.01.2021 23:00","95","95","0","0"
"01.01.2021 23:00 - 02.01.2021 00:00","480","480","0","0"
"02.01.2021 00:00 - 02.01.2021 01:00","495","495","0","0"
"02.01.2021 01:00 - 02.01.2021 02:00","490","490","0","0"
"02.01.2021 02:00 - 02.01.2021 03:00","415","415","0","0"
"02.01.2021 03:00 - 02.01.2021 04:00","295","295","0","0"
"02.01.2021 04:00 - 02.01.2021 05:00","315","315","0","0"
"02.01.2021 05:00 - 02.01.2021 06:00","102","172","0","0"
"02.01.2021 06:00 - 02.01.2021 07:00","70","190","0","0"
"02.01.2021 07:00 - 02.01.2021 08:00","130","130","0","0"
"02.01.2021 08:00 - 02.01.2021 09:00","0","357","55","55"
"02.01.2021 09:00 - 02.01.2021 10:00","0","421","68","68"
"02.01.2021 10:00 - 02.01.2021 11:00","0","439","84","84"
"02.01.2021 11:00 - 02.01.2021 12:00","0","526","84","84"
"02.01.2021 12:00 - 02.01.2021 13:00","0","631","143","143"
"02.01.2021 13:00 - 02.01.2021 14:00","0","585","204","204"
"02.01.2021 14:00 - 02.01.2021 15:00","0","499","137","137"
"02.01.2021 15:00 - 02.01.2021 16:00","0","527","205","205"
"02.01.2021 16:00 - 02.01.2021 17:00","61","535","124","124"
"02.01.2021 17:00 - 02.01.2021 18:00","165","490","106","106"
"02.01.2021 18:00 - 02.01.2021 19:00","165","448","76","76"
"02.01.2021 19:00 - 02.01.2021 20:00","44","387","64","64"
"02.01.2021 20:00 - 02.01.2021 21:00","135","263","60","60"
"02.01.2021 21:00 - 02.01.2021 22:00","215","215","0","0"
"02.01.2021 22:00 - 02.01.2021 23:00","235","235","0","0"
"02.01.2021 23:00 - 03.01.2021 00:00","250","250","12","12"
"03.01.2021 00:00 - 03.01.2021 01:00","262","262","0","0"
"03.01.2021 01:00 - 03.01.2021 02:00","230","230","0","0"
"03.01.2021 02:00 - 03.01.2021 03:00","100","167","0","0"
"03.01.2021 03:00 - 03.01.2021 04:00","0","389","0","0"
